0,18,18,3.51129,3.5263,0.1639,0.186806,0.149134
1,19,37,2.77742,2.78242,0.188419,0.186806,0.149134
2,26,63,2.66025,2.68533,0.188419,0.186806,0.149134
3,21,84,2.68148,2.75776,0.214256,0.189363,0.225204
4,20,104,2.45336,2.40642,0.235659,0.189363,0.182296
5,16,120,2.34915,2.38913,0.235659,0.189363,0.182296
6,22,142,2.41986,2.3941,0.206367,0.189363,0.182296
7,26,168,2.53029,2.60619,0.206367,0.189363,0.271488
8,25,193,2.35859,2.44188,0.252874,0.189363,0.271488
9,23,216,2.28797,2.34364,0.272256,0.226959,0.271488
10,26,242,2.35452,2.51442,0.272256,0.226959,0.271488
11,16,258,2.26762,2.36469,0.272256,0.226959,0.271488
12,15,273,2.28167,2.33033,0.314642,0.314642,0.271488
13,15,288,2.35319,2.50468,0.314642,0.351506,0.351506
14,15,303,2.24843,2.27929,0.375345,0.35358,0.351506
15,10,313,2.48482,2.85298,0.375345,0.35358,0.351506
16,9,322,2.63623,2.95361,0.375345,0.35358,0.349113
17,12,334,2.30558,2.3,0.375345,0.300548,0.349113
18,11,345,2.31397,2.35022,0.375345,0.321637,0.349113
19,10,355,2.30586,2.32983,0.375345,0.321637,0.486055
