0,5,5,3.54596,3.58866,0.201,0.183009,0.1576,0.2,0.0912548,0.2,0.183009,0.163968,0.155086,0.170249,0.218564,0.16475,0.176827,0.0912548,0.154414,0.112874,0.0985548,0.18226,0.251449,0.202806,2,1,2
1,4,9,2.735,2.735,0.201,0.173357,0.1576,0.2,1.12787,0.2,0.187086,0.167493,0.159556,0.174558,0.234014,0.173357,0.199156,0.0215031,0.142296,0.0822873,0.0732103,0.100561,1.12787,0.257697,3,4,2
2,5,14,2.9755,3.06119,0.201,0.173357,0.1576,0.2,1.12787,0.2,0.208206,0.173046,0.16106,0.180493,0.236342,0.186387,0.219399,0.0166546,0.21793,0.0924436,0.119163,0.198806,2.34859,0.225962,4,7,3
3,2,16,2.54439,2.60959,0.201,0.173357,0.1576,0.2,1.12787,0.2,0.229133,0.182249,0.170278,0.200263,0.257023,0.194734,0.224666,0.0146723,0.187863,0.0361061,0.0618117,0.290683,1.52019,0.0115307,4,9,3
4,2,18,2.92129,2.91,0.201,0.228038,0.206406,0.2,0.00957802,0.0159473,0.253008,0.184524,0.176279,0.206406,0.273339,0.200217,0.228038,0.0161903,0.174788,0.0134637,0.0159473,0.360168,1.88792,0.00957802,5,10,3
5,2,20,3.95619,3.91,0.278288,0.262055,0.206406,0.612946,0.0194618,0.0159473,0.262055,0.195363,0.191658,0.218084,0.278288,0.204959,0.239971,0.0194618,0.0812996,0.00796064,0.0327653,0.612946,2.71656,0.00955354,6,11,3
6,1,21,2.88,2.88,0.278288,0.262055,0.201892,0.612946,0.0194618,0.0038488,0.265478,0.196363,0.201892,0.229297,0.305924,0.21011,0.259068,0.0251585,0.116602,0.0038488,0.0258642,0.18866,1.88388,0.00581593,6,11,4
7,2,23,2.88,2.88,0.278288,0.262055,0.201892,0.612946,0.0194618,0.0038488,0.276697,0.204877,0.20581,0.241891,0.320637,0.219154,0.263853,0.00920811,0.816598,0.00361841,0.0128037,0.0843279,0.47559,0.00157791,6,11,6
8,4,27,3.5389,3.72,0.22275,0.287199,0.201892,0.00133779,0.00169046,0.0038488,0.278267,0.227796,0.22275,0.249412,0.322267,0.230981,0.287199,0.00576564,0.439927,0.00133779,0.0397816,0.0591028,0.285916,0.00169046,7,13,7
9,0,27,-nan(ind),-nan(ind),0.237547,0.287199,0.201892,0.363796,0.00169046,0.0038488,0.287342,0.25513,0.233485,0.258555,0.339782,0.237547,0.287239,0.00992157,0.360134,0.000809585,0.0482088,0.0575186,0.363796,0.000635235,7,13,7
10,3,30,3.71029,3.65333,0.29671,0.287199,0.34629,0.261455,0.00169046,0.0219021,0.290877,0.29671,0.240071,0.276263,0.34629,0.243957,0.298531,0.0171037,0.261455,0.000918416,0.0353193,0.0219021,1.13966,0.00131922,8,14,8
11,1,31,3.36,3.36,0.29671,0.287199,0.34629,0.261455,0.00169046,0.0219021,0.308635,0.324226,0.242613,0.289836,0.359977,0.254075,0.305734,0.0162367,0.312411,0.00119004,0.0948069,0.0874466,1.09456,0.000692731,9,14,8
12,3,34,3.68,3.68,0.255117,0.287199,0.34629,0.000522255,0.00169046,0.0219021,0.318702,0.349483,0.255117,0.296293,0.397902,0.255281,0.317809,0.0172176,0.133064,0.000522255,0.119241,0.0263845,1.75391,0.00053123,9,14,11
13,2,36,3.6314,3.64,0.255117,0.287199,0.323932,0.000522255,0.00169046,0.114133,0.323932,0.372959,0.257262,0.311128,0.450828,0.259059,0.327396,0.114133,0.122862,0.00108882,0.0841625,0.0918536,5.4716,0.00099589,10,14,12
14,0,36,-nan(ind),-nan(ind),0.316064,0.287199,0.323932,0.115903,0.00169046,0.114133,0.339795,0.391833,0.262307,0.316064,0.474397,0.264368,0.338304,0.0875603,0.556078,0.000535851,0.115903,0.127251,13.2771,0.00091485,10,14,12
15,2,38,4.16,4.16,0.323619,0.287199,0.323932,0.196761,0.00169046,0.114133,0.347643,0.392743,0.271727,0.323619,0.485505,0.282852,0.351701,0.216632,0.45799,0.000459551,0.196761,0.042045,1.90852,0.000693039,10,14,14
16,1,39,4,4,0.411705,0.287199,0.323932,0.961514,0.00169046,0.114133,0.368556,0.411705,0.276754,0.331544,0.532239,0.299688,0.360911,0.393048,0.961514,0.000685017,0.128304,0.0180881,0.916254,0.000206745,11,14,14
17,3,42,4.45384,4.42667,0.286631,0.287199,0.323932,0.000338609,0.00169046,0.114133,0.401723,0.447911,0.286631,0.337244,0.546727,0.300003,0.379465,0.284057,0.211737,0.000338609,0.0588449,0.0258134,0.412381,0.000527331,13,15,14
18,0,42,-nan(ind),-nan(ind),0.286631,0.287199,0.581779,0.000338609,0.00169046,0.0284908,0.409453,0.455291,0.310129,0.337638,0.581779,0.305295,0.407591,0.248647,0.0543289,6.26156e-05,0.0920791,0.0284908,0.33725,0.00952943,13,15,14
19,1,43,4.64,4.64,0.286631,0.341233,0.581779,0.000338609,0.0548574,0.0284908,0.421711,0.470159,0.321065,0.341233,0.583825,0.315536,0.408004,0.591658,0.0105508,0.000227361,0.0548574,0.104117,0.153128,0.00125334,14,15,14
