0,9,9,3.60297,3.6482,0.2084,0.2084,0.1576,0.2,0.2,0.2,0.180971,0.210606,0.222689,0.15916,0.162623,0.153173,0.176181,0.0579254,0.114258,0.181491,1.87333,0.588704,0.362655,0.388133,2,4,3
1,11,20,3.68058,3.79306,0.2084,0.2084,0.1576,0.2,0.2,0.2,0.186958,0.229779,0.230084,0.178439,0.16746,0.158291,0.193677,0.0359253,0.0477372,0.0958249,2.48456,0.113529,0.485098,0.164703,4,7,9
2,13,33,3.55018,3.58936,0.258721,0.2084,0.1576,0.0590026,0.2,0.2,0.191682,0.239902,0.258721,0.183098,0.172545,0.162537,0.211157,0.173063,0.0333294,0.0590026,0.582618,0.0632225,0.689897,0.13158,8,12,13
3,9,42,3.51801,3.52749,0.263043,0.2084,0.1576,0.0165024,0.2,0.2,0.201565,0.244841,0.263043,0.186518,0.179635,0.162604,0.225904,0.305574,0.0427552,0.0165024,0.29319,0.0205031,0.539985,0.108971,11,18,13
4,13,55,3.54485,3.5733,0.263043,0.2084,0.1576,0.0165024,0.2,0.2,0.203397,0.251293,0.270278,0.203943,0.185861,0.16626,0.233724,1.07684,0.0517948,0.0239122,0.191696,0.0132845,1.08739,0.0554236,16,20,19
5,11,66,3.695,4.10258,0.263043,0.2084,0.258179,0.0165024,0.2,0.0497655,0.21766,0.258179,0.27714,0.205763,0.201685,0.181815,0.248823,1.26763,0.0497655,0.028357,0.110821,0.00981408,1.12155,0.121182,20,23,23
6,9,75,3.75287,3.98753,0.205751,0.205751,0.258179,0.0100097,0.0100097,0.0497655,0.227449,0.26604,0.282381,0.213527,0.205751,0.185398,0.251893,1.71014,0.0174391,0.0858746,0.0305531,0.0100097,7.53508,0.0861828,22,29,24
7,5,80,3.74808,3.83256,0.205751,0.268017,0.258179,0.0100097,0.0297671,0.0497655,0.242384,0.268017,0.295364,0.220718,0.212907,0.197111,0.268636,1.72624,0.0297671,0.0698035,0.0672635,0.00178457,3.02037,0.131645,25,29,26
8,7,87,3.95083,4.49047,0.205751,0.268017,0.258179,0.0100097,0.0297671,0.0497655,0.258472,0.283415,0.306538,0.229253,0.219245,0.222834,0.29133,3.50382,0.017663,0.0380006,0.0912707,0.00111028,6.88619,0.163061,30,30,27
9,8,95,4.01424,4.00009,0.205751,0.268017,0.305421,0.0100097,0.0297671,0.0520541,0.270541,0.285458,0.308998,0.231431,0.238309,0.240865,0.305421,8.29872,0.0775121,0.017944,0.0868465,0.00143787,23.6534,0.0520541,32,32,31
10,9,104,3.84051,3.88029,0.205751,0.268017,0.305421,0.0100097,0.0297671,0.0520541,0.27936,0.29547,0.309376,0.235748,0.247913,0.24148,0.311422,15.3368,0.0843162,0.0224907,0.160039,0.000718639,102.91,0.11665,36,35,33
11,3,107,3.79571,3.84,0.259939,0.268017,0.305421,0.00140947,0.0297671,0.0520541,0.28253,0.296468,0.309562,0.245025,0.259939,0.244127,0.323448,13.0585,0.0828563,0.00423495,0.525843,0.00140947,29.3548,0.832746,37,36,34
12,5,112,4.01453,4.23958,0.298193,0.268017,0.305421,0.0359575,0.0297671,0.0520541,0.28687,0.298193,0.326957,0.248453,0.263518,0.246829,0.330114,20.0096,0.0359575,0.00275683,0.310625,0.00260517,45.9912,1.01977,39,38,35
13,9,121,4.04526,4.06922,0.298193,0.249142,0.255877,0.0359575,61.5681,0.324279,0.290746,0.338307,0.336931,0.255877,0.271965,0.249142,0.360021,3.04952,0.23162,0.00374192,0.324279,0.00139429,61.5681,1.19287,41,44,36
14,11,132,4.15941,4.23695,0.298193,0.249142,0.255877,0.0359575,61.5681,0.324279,0.296947,0.368479,0.34292,0.260039,0.29459,0.257503,0.368367,6.85303,0.183419,0.00280224,0.317793,0.00630212,41.6335,0.605182,43,49,40
15,4,136,3.8823,3.88,0.307361,0.249142,0.255877,2.16021,61.5681,0.324279,0.307361,0.373431,0.344856,0.271252,0.308995,0.265389,0.386375,2.16021,0.748829,0.00289594,0.486386,0.00457458,48.9851,0.326918,45,50,41
16,7,143,4.05842,4.11918,0.307361,0.397691,0.255877,2.16021,0.275989,0.324279,0.30778,0.386451,0.375152,0.283083,0.339835,0.285704,0.397691,2.078,0.255728,0.00516571,0.314708,0.00393959,84.2992,0.275989,48,53,42
17,3,146,3.99953,4.12181,0.290168,0.383885,0.255877,0.387692,0.0125223,0.324279,0.321067,0.406963,0.383885,0.290168,0.352819,0.292711,0.400991,2.68181,0.192072,0.0125223,0.387692,0.00112206,11.285,0.883237,49,53,44
18,6,152,4.08172,4.23537,0.384242,0.383885,0.255877,0.0295674,0.0125223,0.324279,0.324429,0.410559,0.384242,0.313199,0.363699,0.302366,0.404922,5.43505,0.264088,0.0295674,0.300513,0.000926286,6.84878,0.619047,52,54,46
19,4,156,3.89729,3.94,0.384242,0.383885,0.405017,0.0295674,0.0125223,0.000637377,0.332152,0.433038,0.391256,0.31964,0.405017,0.302487,0.428409,5.89671,0.166724,0.0365603,0.265799,0.000637377,6.69443,0.508033,54,55,47
