273874,154.371,2599.77,0
43628.3,316.037,1112.54,1
202537,231.48,1991.73,1
53705.8,34.3054,4051.92,0
99693.9,111.663,2162.93,1
88740.4,112.461,4264.76,1
90070.8,99.4197,3020.75,1
51556.7,138.431,4066.47,0
84374.9,122.965,2213.67,1
147472,176.47,1519.2,0
67521.1,263.478,1744.76,0
350258,157.33,3108.41,1
128801,87.2453,2685.13,1
155144,134.163,3782.67,0
62254.5,145.406,2235.32,1
21478.1,39.649,805.277,0
75369.8,182.443,898.062,0
104348,81.8781,1025.72,1
249736,104.117,7500.85,1
158966,14.5417,1856.68,0
41750.9,148.021,947.154,0
39855.3,70.9226,1131.79,0
101076,106.45,1492.07,1
691422,83.0163,4097.07,1
145136,182.746,1499.79,1
44052.2,60.1401,884.306,0
105804,97.6472,8633.73,1
114604,294.776,3355.23,0
99014.7,280.964,1998.43,1
120572,317.538,1832.87,1
211391,184.641,3269.4,1
127245,51.7407,3390.69,0
62077.7,105.638,1492.19,0
313227,389.334,2563.64,1
32526.2,108.247,3946.88,1
113452,81.9927,2821.83,1
143224,235.387,3984.81,0
60030.6,93.4418,1826.97,1
108234,47.142,2060.28,1
50867.8,309.138,3601.24,1
76816.4,150.375,1756.77,1
60219.2,196.397,7292.07,0
55783.4,161.411,1526.08,0
109707,107.713,2917.38,1
218758,72.7059,2131.37,0
42002.1,133.564,1008.11,1
139869,17.2109,1895.27,0
115700,85.8839,3294.37,0
83644.5,109.103,2225.02,1
74502.2,261.464,3359.53,0
74441.1,262.903,1684.29,0
241906,70.1803,1264.62,1
245400,383.56,4403.67,1
59821.8,140.263,1836.3,1
84260.8,111.08,2412.02,0
88272.1,41.5784,633.458,0
115970,143.819,2110.06,0
92852.3,82.0359,2161.26,0
87577.6,11.6115,1767.36,0
326215,306.137,2230.62,1
18440.8,115.378,1314.18,0
146830,250.588,1771.94,1
389956,288.527,1456.78,1
70786.3,90.2149,841.323,0
177280,200.862,2680.41,0
159210,285.553,1175.14,1
94485,125.7,940.86,1
143384,163.326,1279.52,0
50618.9,323.225,2199.43,1
46640.5,486.44,3400.57,1
53889.4,132.308,5420.23,1
64063.7,211.516,1670.03,0
19560.5,146.838,1176.63,0
114040,212.699,2016.68,1
77245.6,169.606,3152.89,1
235352,25.6521,1225.81,0
55801.6,50.0978,5054.17,0
642376,22.948,2463.18,1
162717,85.332,3640.7,1
91108,244.352,3805.77,1
103219,38.5795,2683.9,0
106225,113.455,1653.04,0
33363.8,120.118,2511.67,1
79766,304.259,2168.06,0
138672,90.7817,1859.05,1
151388,400.169,3397.37,0
134997,107.652,1971.53,1
24725.1,95.8945,2504.17,0
241969,239.932,2436.68,1
103852,198.936,1447.77,1
55613.9,107.249,4279.41,0
46892.1,233.881,2034.25,1
98020.1,171.101,4096.15,0
122953,120.012,3508.66,1
213163,196.857,3085.84,0
304715,23.1835,1308.28,0
137490,196.957,3091.49,1
210934,146.14,4033.29,1
59666.7,129.122,2952.63,1
373644,88.8362,4764.58,1
29781.4,223.204,2251.06,0
147040,231.333,9102.57,1
107632,175.673,7216.16,1
50669.6,231.659,3122.53,1
740878,273.583,3429.33,1
504539,130.105,3215.72,1
33074.3,290.388,1684.08,0
272196,51.123,3408.81,1
23449.6,30.9457,2164.17,0
47315.4,49.3427,2093.71,0
105467,167.197,1767.28,0
55818.7,108.53,836.608,1
65211.7,279.19,1919.09,0
64237,67.175,1882.56,0
97023.7,43.9368,1814.69,1
430938,28.2289,2683.58,0
108027,222.458,1453.69,0
102940,38.6479,4397.27,0
167392,37.4626,1762.83,0
320903,114.273,1718.62,1
96848.9,151.908,828.598,0
59021.4,36.9831,1704.48,0
427893,97.8098,2122.82,1
96452.7,215.013,2072.85,0
19665.7,2.68553,1293.17,0
107619,81.6879,2179.65,1
159034,21.5179,3006.19,0
74481,2.86461,1129.89,0
73063.1,130.923,1399.97,1
7253.53,78.0413,2169.36,0
79313.5,241.499,1792.23,1
189534,288.157,5808.67,0
198271,345.273,5402.88,1
