0,25,25,3.55645,3.60996,0.1639,0.149134,0.172657
1,30,55,3.71104,3.73474,0.1639,0.158627,0.223334
2,22,77,3.68635,3.69611,0.1639,0.158627,0.223334
3,14,91,3.69417,3.67945,0.225204,0.158627,0.223334
4,24,115,3.76413,4.01545,0.235659,0.158627,0.236582
5,29,144,3.63351,3.96071,0.235659,0.158627,0.252428
6,25,169,3.57642,3.86257,0.206367,0.201217,0.248396
7,34,203,3.29389,3.31157,0.206367,0.201217,0.248396
8,29,232,3.33118,3.38919,0.277518,0.201217,0.216764
9,26,258,3.39476,3.50719,0.271994,0.201217,0.271994
10,28,286,3.26468,3.39581,0.271994,0.201217,0.271994
11,16,302,3.29951,3.51811,0.271994,0.285951,0.271994
12,17,319,3.42466,3.60421,0.302003,0.340543,0.271994
13,13,332,3.36968,3.51596,0.312824,0.340543,0.312824
14,17,349,3.23691,3.30574,0.312824,0.340543,0.312824
15,17,366,3.31087,3.42276,0.312824,0.340543,0.312824
16,16,382,3.37397,3.98044,0.312824,0.349113,0.312824
17,13,395,3.39767,3.62507,0.356547,0.349113,0.312824
18,5,400,3.77977,4.62676,0.356547,0.349113,0.312824
19,16,416,3.30538,3.455,0.356547,0.486055,0.312824
